,symbol
1134,CYSLTR2
1135,CYSLTR1
1136,HSD11B1
1137,HSD11B2
1138,HSD11B1
1139,ADRB2
1140,CACNA1C
1141,CACNA2D1
1142,CACNB1
1143,CACNG1
1144,KCNH2
1145,KCNH6
1146,KCNH7
1147,KCNJ11
1148,KCNK1
1149,KCNK6
1150,CACNA1C
1151,ALOX5AP
1152,OPRD1
1153,OPRK1
1154,OPRM1
1155,OPRD1
1156,AADAT
1157,AASS
1158,ABAT
1159,ALDH18A1
1160,ASNS
1161,BCAT1
1162,BCAT2
1163,CCBL2
1164,DNPEP
1165,EARS2
1166,ENPEP
1167,EPRS
1168,FOLH1
1169,FPGS
1170,FTCD
1171,GAD1
1172,GAD2
1173,GATB
1174,GCLC
1175,GCLM
1176,GGCX
1177,GLS
1178,GLS2
1179,GLUD1
1180,GLUD2
1181,GLUL
1182,GMPS
1183,GOT1
1184,GOT2
1185,GPT
1186,GPT2
1187,GRIA1
1188,GRIA2
1189,GRIA3
1190,GRIA4
1191,GRID1
1192,GRID2
1193,GRIK1
1194,GRIK2
1195,GRIK3
1196,GRIK4
1197,GRIK5
1198,GRIN1
1199,GRIN2A
1200,GRIN2B
1201,GRIN2C
1202,GRIN2D
1203,GRIN3A
1204,GRIN3B
1205,GRM1
1206,GRM2
1207,GRM3
1208,GRM4
1209,GRM6
1210,GRM7
1211,GRM8
1212,LGSN
1213,NADSYN1
1214,NAGS
1215,OPLAH
1216,PFAS
1217,PGCP
1218,PSAT1
1219,SLC1A1
1220,SLC1A2
1221,SLC1A3
1222,SLC1A6
1223,SLC1A7
1224,SLC25A18
1225,SLC25A22
1226,SLC7A11
1227,TAT
1228,AADAT
1229,GABBR1
1230,GABBR2
1231,KCTD12
1232,KCTD16
1233,KCTD8
1234,GABBR1
1235,AR
1236,ESR2
1237,ATP4A
1238,CDH5
1239,CRBN
1240,PTGS2
1241,TNF
1242,TNFSF11
1243,CDH5
1244,PTGS2
1245,CLCA1
1246,HMGCR
1247,ATM
1248,ATR
1249,ATM
1250,AVPR1A
1251,AVPR1B
1252,AVPR2
1253,OXTR
1254,AVPR1A
1255,GCK
1256,SLC22A12
1257,OPRD1
1258,OPRK1
1259,OPRM1
1260,OPRD1
1261,CHRM1
1262,CHRM2
1263,CHRM3
1264,CHRM4
1265,CHRM5
1266,CHRM1
1267,ADRA1A
1268,ADRA1B
1269,ADRA1D
1270,ADRA2A
1271,ADRA2B
1272,ADRA2C
1273,CHRM1
1274,CHRM2
1275,CHRM3
1276,CHRM4
1277,CHRM5
1278,DRD1
1279,DRD2
1280,DRD3
1281,DRD4
1282,DRD5
1283,HRH1
1284,HTR1A
1285,HTR1B
1286,HTR1D
1287,HTR1E
1288,HTR1F
1289,HTR2A
1290,HTR2C
1291,HTR3A
1292,HTR6
1293,HTR7
1294,SLC6A2
1295,ADRA1A
1296,ADRA1A
1297,ADRA1B
1298,ADRA1D
1299,HTR1A
1300,HTR1F
1301,ADRA1A
1302,ACVR1
1303,ACVRL1
1304,BMPR1A
1305,ACVR1
1306,PTGS1
1307,PTGS2
1308,PTGS1
1309,CTSC
1310,SLC12A3
1311,CCKAR
1312,CCKBR
1313,CCKAR
1314,PNP
1315,TYMS
1316,ADRB2
1317,KCNK18
1318,DAO
1319,MPO
1320,PIK3CA
1321,PIK3CD
1322,PIK3CG
1323,PIK3CA
1324,NR1H4
1325,ADORA1
1326,ADORA2A
1327,ADORA2B
1328,ADORA3
1329,HDAC2
1330,PDE3A
1331,PDE3B
1332,PDE4A
1333,PDE4B
1334,PDE4C
1335,PDE4D
1336,ADORA1
1337,PTGS1
1338,PTGS2
1339,PTGS1
1340,NOS3
1341,MMP9
1342,CYP3A4
1343,TBXA2R
1344,CHRM1
1345,CHRM2
1346,CHRM3
1347,CHRM4
1348,CHRM5
1349,CHRM1
1350,SLC6A2
1351,SLC6A4
1352,SLC6A2
1353,CNR1
1354,GPR119
1355,TRPV1
1356,CNR1
1357,S1PR1
