,feature_name
399,sensitivity_BRD-A45498368-001-07-1::2.5::HTS
400,sensitivity_BRD-A45543382-001-10-0::2.5::HTS
401,sensitivity_BRD-A45869167-001-10-0::2.5::HTS
402,sensitivity_BRD-A45889380-300-07-1::2.5::HTS
403,sensitivity_BRD-A45906415-001-01-9::2.5::HTS
404,sensitivity_BRD-A46066006-004-22-6::2.5::HTS
405,sensitivity_BRD-A46179541-311-02-0::2.5::HTS
406,sensitivity_BRD-A46186775-369-02-0::2.5::HTS
407,sensitivity_BRD-A46393198-003-16-6::2.5::HTS
408,sensitivity_BRD-A46717658-236-02-5::2.5::HTS
409,sensitivity_BRD-A46813902-001-01-6::2.5::HTS
410,sensitivity_BRD-A46876182-003-02-8::2.5::HTS
411,sensitivity_BRD-A47342814-003-01-8::2.5::HTS
412,sensitivity_BRD-A47364545-003-02-6::2.5::HTS
413,sensitivity_BRD-A47449001-004-13-7::2.5::HTS
414,sensitivity_BRD-A47494775-003-11-3::2.5::HTS
415,sensitivity_BRD-A47598013-004-16-0::2.5::HTS
416,sensitivity_BRD-A47706533-001-02-6::2.5::HTS
417,sensitivity_BRD-A47790386-001-03-6::2.61::HTS
418,sensitivity_BRD-A47884604-051-01-2::2.5::HTS
419,sensitivity_BRD-A47953250-001-01-7::2.5::HTS
420,sensitivity_BRD-A48015106-004-08-9::2.5::HTS
421,sensitivity_BRD-A48180038-003-24-3::2.5::HTS
422,sensitivity_BRD-A48237631-001-04-8::2.5::HTS
423,sensitivity_BRD-A48261811-001-08-1::2.5::HTS
424,sensitivity_BRD-A48300215-001-04-8::2.5::HTS
425,sensitivity_BRD-A48430263-003-17-2::2.5::HTS
426,sensitivity_BRD-A48720949-001-04-0::2.5::HTS
427,sensitivity_BRD-A49035384-003-28-9::2.39::HTS
428,sensitivity_BRD-A49035384-003-30-5::2.5::HTS
429,sensitivity_BRD-A49046702-003-08-3::2.5::HTS
430,sensitivity_BRD-A49160188-003-12-7::2.5::HTS
431,sensitivity_BRD-A49172652-001-27-1::2.5::HTS
432,sensitivity_BRD-A49225603-045-10-0::2.5::HTS
433,sensitivity_BRD-A49358627-001-14-6::2.5::HTS
434,sensitivity_BRD-A49399758-015-01-8::2.5::HTS
435,sensitivity_BRD-A49447682-001-02-4::2.5::HTS
436,sensitivity_BRD-A49544621-003-02-8::2.5::HTS
437,sensitivity_BRD-A49622760-001-01-9::2.5::HTS
438,sensitivity_BRD-A49765801-001-04-1::2.5::HTS
439,sensitivity_BRD-A49838158-001-01-1::2.5::HTS
440,sensitivity_BRD-A49906757-004-09-8::2.5::HTS
441,sensitivity_BRD-A50028488-001-01-6::2.5::HTS
442,sensitivity_BRD-A50049929-001-01-9::2.5::HTS
443,sensitivity_BRD-A50064262-001-04-7::2.5::HTS
444,sensitivity_BRD-A50157456-065-20-6::2.5::HTS
445,sensitivity_BRD-A50311610-300-10-4::2.5::HTS
446,sensitivity_BRD-A50675702-001-07-1::2.5::HTS
447,sensitivity_BRD-A50684349-003-02-9::2.5::HTS
448,sensitivity_BRD-A50737080-001-03-0::2.5::HTS
449,sensitivity_BRD-A50764878-003-02-8::2.5::HTS
