X1,genes,pvalue,statistic,padj
2010,expression_MMP1,8.2901026005591e-17,0.13232048300094,1.66713963297244e-13
2011,expression_LYST,8.22022069236874e-17,0.132335329341317,1.65390840330459e-13
2012,expression_ZNF649,8.08219610308696e-17,0.132365022022072,1.62694607555141e-13
2013,expression_SLC45A2,7.96892449767732e-17,0.1323897659227,1.60494139383221e-13
2014,expression_OSR2,7.83506481789576e-17,0.132419458603454,1.578765560806e-13
2015,expression_GRIK2,7.79093990038564e-17,0.132429356163706,1.57065348391774e-13
2016,expression_VEPH1,7.66003115343943e-17,0.13245904884446,1.54502828364873e-13
2017,expression_WDR31,7.36295891330286e-17,0.13252833176622,1.48584510870452e-13
2018,expression_TRPM8,7.21871555157789e-17,0.1325629732271,1.45745866986358e-13
2019,expression_ERICH6,7.03735073210529e-17,0.132607512248231,1.42154484788527e-13
2020,expression_COLGALT2,6.725960041594e-17,0.132686692730242,1.35931652440615e-13
2021,expression_CTPS2,6.23103243865537e-17,0.132820309793636,1.25991475909612e-13
2022,expression_CRYGS,5.82137994972614e-17,0.132939080516653,1.1776651638296e-13
2023,expression_SLC25A28,5.73944227832761e-17,0.132963824417281,1.16166311713351e-13
2024,expression_LACC1,5.72319185063183e-17,0.132968773197407,1.15894634975294e-13
2025,expression_TTC7B,5.65864297563138e-17,0.13298856831791,1.14644106686292e-13
2026,expression_NBEAL2,5.62663849571123e-17,0.132998465878161,1.14051962308067e-13
2027,expression_STS,5.56316450561653e-17,0.133018260998664,1.12820976173903e-13
2028,expression_PAPPA2,5.36171503431285e-17,0.133082595140298,1.08789198046208e-13
2029,expression_SSH3,5.31625894702312e-17,0.133097441480675,1.07920056624569e-13
2030,expression_ZNF500,5.30119159925718e-17,0.133102390260801,1.07667201380913e-13
2031,expression_MYORG,5.25624196747072e-17,0.133117236601178,1.06806836779005e-13
2032,expression_RAB9A,5.19689376447432e-17,0.133137031721681,1.05652850231763e-13
2033,expression_TMEM140,4.95195556417565e-17,0.133221160983818,1.00722776175333e-13
2034,expression_SDCCAG8,4.90992985346622e-17,0.133236007324195,9.99170725180376e-14
2035,expression_RWDD1,4.78595332176172e-17,0.133280546345326,9.74420096310686e-14
2036,expression_AHR,4.75882539176883e-17,0.133290443905577,9.69372732303311e-14
2037,expression_RAB2A,4.7184178040394e-17,0.133305290245954,9.6161354846323e-14
2038,expression_NAPSA,4.66506734171599e-17,0.133325085366457,9.5120723097589e-14
2039,expression_SH2D7,4.65182302069467e-17,0.133330034146583,9.48971896221712e-14
2040,expression_CUBN,4.62544561110186e-17,0.133339931706834,9.4405344922589e-14
2041,expression_ABHD15,4.57313285918666e-17,0.133359726827337,9.33833729845915e-14
2042,expression_SMIM3,4.50856242989973e-17,0.133384470727966,9.21099304428515e-14
2043,expression_PSEN2,4.44489197740021e-17,0.133409214628594,9.08535920180604e-14
2044,expression_PNMA2,4.43226479205924e-17,0.13341416340872,9.06398149976114e-14
2045,expression_CHST11,4.39459527635878e-17,0.133429009749097,8.99134193543007e-14
2046,expression_AFMID,4.307924159228e-17,0.133463651209977,8.81832075393972e-14
2047,expression_FAM120C,4.2834723630112e-17,0.133473548770228,8.77255139944694e-14
2048,expression_LRFN3,4.27129788381989e-17,0.133478497550354,8.75188936394695e-14
2049,expression_ABHD11,4.18702753388566e-17,0.133513139011234,8.58759347199949e-14
2050,expression_SGSM3,4.18702753388566e-17,0.133513139011234,8.58759347199949e-14
2051,expression_RPS2,4.12784120656741e-17,0.133537882911862,8.47033015587633e-14
2052,expression_ATP6V1B2,4.06948077994858e-17,0.133562626812491,8.35464404123444e-14
2053,expression_PRDX2,4.02337944062029e-17,0.133582421932994,8.26402137103408e-14
2054,expression_EIF2AK3,4.01193488299818e-17,0.133587370713119,8.24452618456127e-14
2055,expression_TMOD4,3.91036917699605e-17,0.13363190973425,8.03971902790389e-14
2056,expression_TMSB4X,3.74670345433977e-17,0.133706141436136,7.70696900557691e-14
2057,expression_CETN2,3.68314704055663e-17,0.13373583411689,7.57991660946554e-14
2058,expression_FGD4,3.61034189850442e-17,0.13377047557777,7.43730431091911e-14
2059,expression_RUNX1,3.61034189850442e-17,0.13377047557777,7.43730431091911e-14
2060,expression_LAMTOR1,3.50879248826838e-17,0.133819963379027,7.23162131832113e-14
2061,expression_PTPRU,3.49879395762108e-17,0.133824912159153,7.21451314061467e-14
2062,expression_UNC93B1,3.38098303876131e-17,0.133884297520661,6.97496800896458e-14
2063,expression_COX6B2,3.37134408436544e-17,0.133889246300787,6.95845419013027e-14
2064,expression_EEF1AKMT1,3.34258967165683e-17,0.133904092641164,6.90244767197136e-14
2065,expression_MON1A,3.3046267077185e-17,0.133923887761667,6.82735877814643e-14
2066,expression_TMEM240,3.22075912513752e-17,0.133968426782798,6.65730911165924e-14
2067,expression_AKT2,3.12110311439492e-17,0.134022863364181,6.45444124056869e-14
2068,expression_ZNF554,3.07681709446386e-17,0.134047607264809,6.36593456844572e-14
2069,expression_VLDLR,3.05054381735543e-17,0.134062453605186,6.31462570192575e-14
2070,expression_SH3GL1,2.98155952919689e-17,0.134102043846192,6.17480978496676e-14
2071,expression_ZNRF2,2.97304549970509e-17,0.134106992626318,6.16015027538895e-14
2072,expression_CUEDC1,2.92246298256118e-17,0.134136685307072,6.05826576284932e-14
2073,expression_TESK2,2.91411555430608e-17,0.134141634087198,6.04678977518503e-14
2074,expression_ATP6AP1,2.91411555430604e-17,0.134141634087198,6.04678977518503e-14
2075,expression_ANTXR2,2.89749124064968e-17,0.134151531647449,6.01519181558874e-14
2076,expression_FTCDNL1,2.87273014787552e-17,0.134166377987826,5.96666051713747e-14
2077,expression_DDAH1,2.84004000560542e-17,0.134186173108329,5.90160313164805e-14
2078,expression_ZMAT3,2.75202355641591e-17,0.134240609689712,5.72145697378867e-14
2079,expression_POLR2I,2.56187591065271e-17,0.134364329192854,5.32870189415764e-14
2080,expression_TRABD2A,2.44705010143928e-17,0.134443509674865,5.09231126109515e-14
2081,expression_RRAGA,2.43305895711986e-17,0.134453407235117,5.06562874872355e-14
2082,expression_REPS1,2.39842564600247e-17,0.134478151135745,4.99592062062315e-14
2083,expression_ABCD1,2.30402039188553e-17,0.134547434057505,4.80157849668945e-14
2084,expression_MAPT,2.21328527645881e-17,0.134616716979265,4.61469980141662e-14
2085,expression_SUB1,2.20694088100098e-17,0.13462166575939,4.60367867776805e-14
2086,expression_SYT1,2.18801521835781e-17,0.134636512099767,4.56638776071276e-14
2087,expression_CLCN7,2.16924979283926e-17,0.134651358440145,4.52939356744836e-14
2088,expression_SOHLH2,2.13832653495748e-17,0.134676102340773,4.46696413152617e-14
2089,expression_ZNF487,2.12607944470029e-17,0.134685999901024,4.44350603942361e-14
2090,expression_CELSR2,2.11390160634789e-17,0.134695897461276,4.42016825887343e-14
2091,expression_SLC25A42,2.03640718658289e-17,0.13476023160291,4.2601638343314e-14
2092,expression_NKAIN1,2.0131319805887e-17,0.134780026723413,4.21348523537215e-14
2093,expression_TRPM4,1.94487068220126e-17,0.134839412084921,4.07255920852945e-14
2094,expression_FIG4,1.90063789609293e-17,0.134879002325927,3.98183639231469e-14
2095,expression_PEX11A,1.86811647422116e-17,0.134908695006681,3.91557212996754e-14
2096,expression_LRCH4,1.84674136829301e-17,0.134928490127184,3.87261664931043e-14
2097,expression_TMEM92,1.78919694235974e-17,0.134982926708566,3.75373518507074e-14
2098,expression_FBXL15,1.71357071919565e-17,0.135057158410452,3.59678493959166e-14
2099,expression_SLC44A5,1.67936713559492e-17,0.135091799871332,3.52667098474934e-14
2100,expression_SEMA3E,1.66012578318638e-17,0.135111594991835,3.48792427047459e-14
2101,expression_TIAM2,1.65534955407252e-17,0.13511654377196,3.47954476266044e-14
2102,expression_SPPL2A,1.65058689212284e-17,0.135121492552086,3.47118423413434e-14
2103,expression_MYL6B,1.60832721644357e-17,0.135166031573217,3.38392046339727e-14
2104,expression_MT-CYB,1.55812495179922e-17,0.1352204681546,3.27985302353736e-14
2105,expression_PABPC1,1.4539007235736e-17,0.135339238877617,3.06191492384599e-14
2106,expression_ZNF837,1.43306985733146e-17,0.135363982778245,3.01947818939738e-14
2107,expression_LGR4,1.37232922659225e-17,0.135438214480131,2.89287000965646e-14
2108,expression_PHC2,1.34875108131069e-17,0.135467907160885,2.84451603048425e-14
2109,expression_ZSCAN16,1.33711245366617e-17,0.135482753501262,2.82130727723562e-14
2110,expression_KLF3,1.30655869662377e-17,0.135522343742268,2.75814540857278e-14
2111,expression_DGKZ,1.30278827914741e-17,0.135527292522393,2.75148884555934e-14
2112,expression_ICA1L,1.24750446318006e-17,0.135601524224279,2.63597693069947e-14
2113,expression_CNKSR3,1.24390236190433e-17,0.135606473004404,2.62960959306576e-14
2114,expression_AVPI1,1.2367289404071e-17,0.135616370564656,2.61568170896102e-14
2115,expression_TLNRD1,1.22959636806233e-17,0.135626268124907,2.60182591481989e-14
2116,expression_DDX58,1.22250441528518e-17,0.135636165685159,2.58804184715872e-14
2117,expression_KIN,1.21194214872304e-17,0.135651012025536,2.5668934709954e-14
2118,expression_SYNGR1,1.17738117602682e-17,0.135700499826793,2.49487071200082e-14
2119,expression_ATP6V1F,1.17058667933725e-17,0.135710397387044,2.48164376019498e-14
2120,expression_ZNF322,1.09835533955086e-17,0.135819270549809,2.32961167518737e-14
2121,expression_SERPINC1,1.09517881308067e-17,0.135824219329935,2.32396944135717e-14
2122,expression_B4GAT1,1.08885294912064e-17,0.135834116890187,2.31163481098312e-14
2123,expression_SH2D4B,1.06390828628142e-17,0.135873707131192,2.25974120006174e-14
2124,expression_POLN,1.01569967011283e-17,0.135952887613203,2.15836179898976e-14
2125,expression_MYL12A,1.01275930446036e-17,0.135957836393329,2.15312628128273e-14
2126,expression_PIGH,9.75290888803948e-18,0.136022170534963,2.074443720486e-14
2127,expression_SLC23A3,9.58462691570957e-18,0.136051863215717,2.039608607663e-14
2128,expression_ZC3H3,9.39191918534206e-18,0.136086504676597,1.99953959455932e-14
2129,expression_NUDT17,9.14976488188515e-18,0.136131043697729,1.94889991984154e-14
2130,expression_CAPS2,9.04412969379664e-18,0.136150838818231,1.92730403774806e-14
2131,expression_RPS27L,8.96569448498128e-18,0.136165685158608,1.91148606419801e-14
2132,expression_LPP,8.88793106413758e-18,0.136180531498986,1.89579569598055e-14
2133,expression_TRPV3,8.83645919239966e-18,0.136190429059237,1.88570039165809e-14
2134,expression_SERPINE2,8.8108337516238e-18,0.136195377839363,1.88111300597168e-14
2135,expression_STOX1,8.31346349892461e-18,0.136294353441877,1.7757558033703e-14
2136,expression_UBAP1L,8.2173690495203e-18,0.136314148562379,1.75605176588249e-14
2137,expression_NUAK2,7.84383861843029e-18,0.136393329044391,1.6770126966204e-14
2138,expression_GRPR,7.35747503667377e-18,0.136502202207156,1.57376391034452e-14
2139,expression_NFIC,7.10486600907753e-18,0.136561587568664,1.52044132594259e-14
2140,expression_GDPD5,7.08420606271442e-18,0.13656653634879,1.51672851802716e-14
2141,expression_PBLD,6.94123831469352e-18,0.13660117780967,1.48681324700735e-14
2142,expression_TRIOBP,6.88084219616781e-18,0.136616024150047,1.47456448263876e-14
